id,num,name,img,type,height,weight,candy,candy_count,egg,spawn_chance,avg_spawns,spawn_time,multipliers,weaknesses,prev_evolution,next_evolution
1,001,Bulbasaur,http://www.serebii.net/pokemongo/pokemon/001.png,"['Grass', 'Poison']",0.71 m,6.9 kg,Bulbasaur Candy,25,2 km,0.69,69,20:00,[1.58],"['Fire', 'Ice', 'Flying', 'Psychic']",None,"[{'num': '002', 'name': 'Ivysaur'}, {'num': '003', 'name': 'Venusaur'}]"
2,002,Ivysaur,http://www.serebii.net/pokemongo/pokemon/002.png,"['Grass', 'Poison']",0.99 m,13.0 kg,Bulbasaur Candy,100,Not in Eggs,0.042,4.2,07:00,"[1.2, 1.6]","['Fire', 'Ice', 'Flying', 'Psychic']","[{'num': '001', 'name': 'Bulbasaur'}]","[{'num': '003', 'name': 'Venusaur'}]"
3,003,Venusaur,http://www.serebii.net/pokemongo/pokemon/003.png,"['Grass', 'Poison']",2.01 m,100.0 kg,Bulbasaur Candy,None,Not in Eggs,0.017,1.7,11:30,,"['Fire', 'Ice', 'Flying', 'Psychic']","[{'num': '001', 'name': 'Bulbasaur'}, {'num': '002', 'name': 'Ivysaur'}]",None
4,004,Charmander,http://www.serebii.net/pokemongo/pokemon/004.png,['Fire'],0.61 m,8.5 kg,Charmander Candy,25,2 km,0.253,25.3,08:45,[1.65],"['Water', 'Ground', 'Rock']",None,"[{'num': '005', 'name': 'Charmeleon'}, {'num': '006', 'name': 'Charizard'}]"
5,005,Charmeleon,http://www.serebii.net/pokemongo/pokemon/005.png,['Fire'],1.09 m,19.0 kg,Charmander Candy,100,Not in Eggs,0.012,1.2,19:00,[1.79],"['Water', 'Ground', 'Rock']","[{'num': '004', 'name': 'Charmander'}]","[{'num': '006', 'name': 'Charizard'}]"
6,006,Charizard,http://www.serebii.net/pokemongo/pokemon/006.png,"['Fire', 'Flying']",1.70 m,90.5 kg,Charmander Candy,None,Not in Eggs,0.0031,0.31,13:34,,"['Water', 'Electric', 'Rock']","[{'num': '004', 'name': 'Charmander'}, {'num': '005', 'name': 'Charmeleon'}]",None
7,007,Squirtle,http://www.serebii.net/pokemongo/pokemon/007.png,['Water'],0.51 m,9.0 kg,Squirtle Candy,25,2 km,0.58,58,04:25,[2.1],"['Electric', 'Grass']",None,"[{'num': '008', 'name': 'Wartortle'}, {'num': '009', 'name': 'Blastoise'}]"
8,008,Wartortle,http://www.serebii.net/pokemongo/pokemon/008.png,['Water'],0.99 m,22.5 kg,Squirtle Candy,100,Not in Eggs,0.034,3.4,07:02,[1.4],"['Electric', 'Grass']","[{'num': '007', 'name': 'Squirtle'}]","[{'num': '009', 'name': 'Blastoise'}]"
9,009,Blastoise,http://www.serebii.net/pokemongo/pokemon/009.png,['Water'],1.60 m,85.5 kg,Squirtle Candy,None,Not in Eggs,0.0067,0.67,00:06,,"['Electric', 'Grass']","[{'num': '007', 'name': 'Squirtle'}, {'num': '008', 'name': 'Wartortle'}]",None
10,010,Caterpie,http://www.serebii.net/pokemongo/pokemon/010.png,['Bug'],0.30 m,2.9 kg,Caterpie Candy,12,2 km,3.032,303.2,16:35,[1.05],"['Fire', 'Flying', 'Rock']",None,"[{'num': '011', 'name': 'Metapod'}, {'num': '012', 'name': 'Butterfree'}]"
